coin,window_label,window_seconds,threshold_cents,sample_size,wins,win_rate_pct,avg_entry_price_cents,avg_profit_per_contract_cents,ev_per_trade_cents,ev_per_1_dollar_risked_cents,tradeable_rate_pct,dry_up_rate_pct,projected_bankroll_after_300
ETH,T-4m,240,94,138,137,99.27536231884058,97.90579710144927,1.2240869565217407,1.2240869565217407,1.2714117848204718,61.59420289855072,40.57971014492754,255.026990985608
ETH,T-4m,240,98,80,80,100.0,98.93250000000002,0.9927750000000007,0.9927750000000007,1.0062166378736717,33.75,67.5,212.05446065876055
ETH,T-3m,180,98,125,125,100.0,99.07119999999999,0.863784000000001,0.863784000000001,0.8742819932943112,24.8,80.0,192.16801798821547
ETH,T-2m,120,92,216,215,99.53703703703704,98.60046296296295,0.8394814814814824,0.8394814814814824,0.8702339776609537,35.18518518518518,68.51851851851852,189.1838910251062
ETH,T-90s,90,92,216,215,99.53703703703704,98.60046296296295,0.8394814814814824,0.8394814814814824,0.8702339776609537,35.18518518518518,68.51851851851852,189.1838910251062
ETH,T-4m,240,96,122,121,99.18032786885246,98.3032786885246,0.7595409836065588,0.7595409836065588,0.7786791588342128,56.557377049180324,45.90163934426229,178.3734479615803
ETH,T-5m,300,94,106,104,98.11320754716981,97.24811320754718,0.6764905660377382,0.6764905660377382,0.7168074486801627,80.18867924528303,25.471698113207548,168.36582316739003
ETH,T-2m,120,98,173,173,100.0,99.25606936416183,0.6918554913294802,0.6918554913294802,0.6999012627212017,19.07514450867052,84.39306358381504,168.59442179309067
ETH,T-90s,90,98,173,173,100.0,99.25606936416183,0.6918554913294802,0.6918554913294802,0.6999012627212017,19.07514450867052,84.39306358381504,168.59442179309067
ETH,T-2m,120,94,210,209,99.52380952380952,98.76,0.6779095238095246,0.6779095238095246,0.6955301269983566,33.33333333333333,70.47619047619048,167.19752111463268
ETH,T-90s,90,94,210,209,99.52380952380952,98.76,0.6779095238095246,0.6779095238095246,0.6955301269983566,33.33333333333333,70.47619047619048,167.19752111463268
ETH,T-5m,300,96,81,80,98.76543209876543,97.99753086419753,0.6293703703703718,0.6293703703703718,0.6530704411944607,74.07407407407408,32.098765432098766,161.82649050322738
ETH,T-60s,60,88,270,268,99.25925925925925,98.56185185185186,0.5994851851851857,0.5994851851851857,0.6440123118735598,22.22222222222222,78.88888888888889,157.508059534623
ETH,T-2m,120,88,233,230,98.71244635193133,97.97467811158799,0.6025150214592281,0.6025150214592281,0.6177231345295577,39.91416309012876,63.519313304721024,157.97801703170066
ETH,T-90s,90,88,233,230,98.71244635193133,97.97467811158799,0.6025150214592281,0.6025150214592281,0.6177231345295577,39.91416309012876,63.519313304721024,157.97801703170066
ETH,T-60s,60,90,267,265,99.25093632958801,98.67303370786516,0.4877940074906373,0.4877940074906373,0.5176507190228433,21.34831460674157,79.7752808988764,144.62225577319248
ETH,T-2m,120,96,197,196,99.49238578680203,99.00507614213197,0.41862436548223425,0.41862436548223425,0.4213753043509019,28.934010152284262,74.61928934010153,137.23127236172343
ETH,T-90s,90,96,197,196,99.49238578680203,99.00507614213197,0.41862436548223425,0.41862436548223425,0.4213753043509019,28.934010152284262,74.61928934010153,137.23127236172343
ETH,T-60s,60,98,223,223,100.0,99.59641255605379,0.37533632286995544,0.37533632286995544,0.3787554143174166,5.829596412556054,94.61883408071749,132.64548964933115
ETH,T-2m,120,90,228,225,98.68421052631578,98.18026315789473,0.38322807017543936,0.38322807017543936,0.3687838066418196,38.59649122807017,64.91228070175438,133.48251088931002
ETH,T-90s,90,90,228,225,98.68421052631578,98.18026315789473,0.38322807017543936,0.38322807017543936,0.3687838066418196,38.59649122807017,64.91228070175438,133.48251088931002
ETH,T-60s,60,94,248,247,99.59677419354838,99.20766129032259,0.33463709677419406,0.33463709677419406,0.3419125267255407,15.32258064516129,85.88709677419355,128.69800230263294
ETH,T-60s,60,92,258,256,99.2248062015504,98.96550387596899,0.18976356589147345,0.18976356589147345,0.1866403960018902,18.6046511627907,82.55813953488372,115.26027634009134
ETH,T-3m,180,90,211,206,97.6303317535545,97.30710900473933,0.14165402843602012,0.14165402843602012,0.17916354660268127,55.45023696682464,48.34123222748815,111.32238602315788
