rule,action,window_label,min_favorite_price_cents,max_spread_cents,lookback_minutes,momentum_filter,min_abs_return_bps,train_sample_size,train_win_rate_pct,train_mean_pnl_cents,train_mean_pnl_ci_low_cents,train_mean_pnl_ci_high_cents,train_wilson_lower_pct,test_sample_size,test_win_rate_pct,test_mean_pnl_cents,test_mean_pnl_ci_low_cents,test_mean_pnl_ci_high_cents,test_wilson_lower_pct,test_avg_entry_price_cents,train_score,test_score
follow_favorite | T-3m | favorite>=0.60 | spread<=0.05 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,60.0,5.0,1,confirm,0,87,100.0,7.761758620689655,5.608207420336873,9.915309821042435,95.77110046498521,35,100.0,6.079542857142857,3.2373509729269,8.921734741358817,90.10957324106113,93.46285714285715,0.056082074203368734,0.032373509729269
follow_favorite | T-3m | favorite>=0.60 | spread<=0.08 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,60.0,8.0,1,confirm,0,87,100.0,7.761758620689655,5.608207420336873,9.915309821042435,95.77110046498521,35,100.0,6.079542857142857,3.2373509729269,8.921734741358817,90.10957324106113,93.46285714285715,0.056082074203368734,0.032373509729269
follow_favorite | T-3m | favorite>=0.60 | spread<=0.03 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,60.0,3.0,1,confirm,0,87,100.0,7.761758620689655,5.608207420336873,9.915309821042435,95.77110046498521,34,100.0,5.957470588235295,3.040808423823663,8.874132752646927,89.84820937803899,93.59411764705881,0.056082074203368734,0.03040808423823663
follow_favorite | T-5m | favorite>=0.60 | spread<=0.03 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,60.0,3.0,1,confirm,4,32,96.875,10.1524375,3.9562076022310153,16.348667397768985,84.25539219962727,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.039562076022310155,0.028549368366334205
follow_favorite | T-5m | favorite>=0.60 | spread<=0.05 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,60.0,5.0,1,confirm,4,32,96.875,10.1524375,3.9562076022310153,16.348667397768985,84.25539219962727,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.039562076022310155,0.028549368366334205
follow_favorite | T-5m | favorite>=0.60 | spread<=0.08 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,60.0,8.0,1,confirm,4,32,96.875,10.1524375,3.9562076022310153,16.348667397768985,84.25539219962727,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.039562076022310155,0.028549368366334205
follow_favorite | T-5m | favorite>=0.70 | spread<=0.03 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,70.0,3.0,1,confirm,4,28,96.42857142857143,7.019214285714286,0.7680790637601533,13.270349507668417,82.28742388150134,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.007680790637601534,0.028549368366334205
follow_favorite | T-5m | favorite>=0.70 | spread<=0.05 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,70.0,5.0,1,confirm,4,28,96.42857142857143,7.019214285714286,0.7680790637601533,13.270349507668417,82.28742388150134,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.007680790637601534,0.028549368366334205
follow_favorite | T-5m | favorite>=0.70 | spread<=0.08 | mom1m=confirm | |ret|>=4bps,follow_favorite,T-5m,70.0,8.0,1,confirm,4,28,96.42857142857143,7.019214285714286,0.7680790637601533,13.270349507668417,82.28742388150134,10,100.0,7.151700000000001,2.8549368366334207,11.448463163366581,72.24598312333835,92.31,0.007680790637601534,0.028549368366334205
follow_favorite | T-3m | favorite>=0.70 | spread<=0.05 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,70.0,5.0,1,confirm,0,81,100.0,5.856703703703704,4.177196799334814,7.536210608072594,95.4720325877871,34,100.0,5.383058823529413,2.815731168731622,7.950386478327203,89.84820937803899,94.21176470588235,0.04177196799334814,0.02815731168731622
follow_favorite | T-3m | favorite>=0.70 | spread<=0.08 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,70.0,8.0,1,confirm,0,81,100.0,5.856703703703704,4.177196799334814,7.536210608072594,95.4720325877871,34,100.0,5.383058823529413,2.815731168731622,7.950386478327203,89.84820937803899,94.21176470588235,0.04177196799334814,0.02815731168731622
follow_favorite | T-3m | favorite>=0.70 | spread<=0.03 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-3m,70.0,3.0,1,confirm,0,81,100.0,5.856703703703704,4.177196799334814,7.536210608072594,95.4720325877871,33,100.0,5.236181818181819,2.606530591972508,7.865833044391129,89.57265699643881,94.36969696969697,0.04177196799334814,0.02606530591972508
