ticker,open_time,close_time,result,window_label,window_seconds,cutoff_time,snapshot_ts,yes_bid,yes_ask,favorite_side,favorite_entry_price,favorite_price_cents,spread,spread_cents,favorite_won,favorite_pnl,btc_price,btc_ret_1m_bps,btc_ret_3m_bps,btc_ret_5m_bps,kalshi_volume_fp,kalshi_open_interest_fp,favorite_matches_btc_1m,favorite_matches_btc_3m,favorite_matches_btc_5m,market_sequence
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-2m,120,2026-04-08 17:43:00+00:00,2026-04-08 17:43:00+00:00,0.996,0.997,yes,0.997,99.7,0.0010000000000000009,0.10000000000000009,True,0.002790000000000002,71838.56,2.4296477734742083,-5.755431314414805,5.764851177281205,12608.99,58549.75,True,False,True,3
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-3m,180,2026-04-08 17:42:00+00:00,2026-04-08 17:42:00+00:00,0.963,0.967,yes,0.967,96.7,0.0040000000000000036,0.40000000000000036,True,0.030690000000000026,71821.11,7.336091648058041,-2.596055443391254,2.30208156638545,25926.93,52976.83,True,False,True,3
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-4m,240,2026-04-08 17:41:00+00:00,2026-04-08 17:41:00+00:00,0.991,0.995,yes,0.995,99.5,0.0040000000000000036,0.40000000000000036,True,0.004650000000000004,71768.46,-15.507805864584112,-3.998764853822001,-18.696049630271272,13054.12,44593.64,False,False,False,3
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-5m,300,2026-04-08 17:40:00+00:00,2026-04-08 17:40:00+00:00,0.971,0.977,yes,0.977,97.7,0.006000000000000005,0.6000000000000005,True,0.021390000000000017,71879.93,5.591611107831351,10.493759590264329,22.615046151759355,8347.69,37905.98,True,True,True,3
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-60s,60,2026-04-08 17:59:00+00:00,2026-04-08 17:59:00+00:00,0.994,0.995,yes,0.995,99.5,0.0010000000000000009,0.10000000000000009,True,0.004650000000000004,71903.97,-1.6449792674211317,1.1085456770887347,6.057574932745169,27506.88,71665.44,False,True,True,4
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-90s,90,2026-04-08 17:58:30+00:00,2026-04-08 17:58:00+00:00,0.951,0.953,yes,0.953,95.3,0.0020000000000000018,0.20000000000000018,True,0.043710000000000034,71915.8,1.874765654292787,5.334078304937151,-0.7299670958638149,51569.27,68837.44,True,True,False,4
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-2m,120,2026-04-08 17:58:00+00:00,2026-04-08 17:58:00+00:00,0.951,0.953,yes,0.953,95.3,0.0020000000000000018,0.20000000000000018,True,0.043710000000000034,71915.8,1.874765654292787,5.334078304937151,-0.7299670958638149,51569.27,68837.44,True,True,False,4
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-3m,180,2026-04-08 17:57:00+00:00,2026-04-08 17:57:00+00:00,0.84,0.86,yes,0.86,86.0,0.020000000000000018,2.0000000000000018,True,0.1302,71902.32,0.8790475130759923,5.827963202007513,5.225091515634883,17879.6,44068.4,True,True,True,4
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-4m,240,2026-04-08 17:56:00+00:00,2026-04-08 17:56:00+00:00,0.72,0.73,yes,0.73,73.0,0.010000000000000009,1.0000000000000009,True,0.2511,71896.0,2.579389978443203,-3.4829858574092487,-2.3083576452531673,10967.05,40685.39,True,False,False,4
KXBTC15M-26APR081400-00,2026-04-08 17:45:00+00:00,2026-04-08 18:00:00+00:00,yes,T-5m,300,2026-04-08 17:55:00+00:00,2026-04-08 17:55:00+00:00,0.61,0.62,yes,0.62,62.0,0.010000000000000009,1.0000000000000009,True,0.3534,71877.46,2.368479792220768,1.7658165468281695,0.10991048973396644,14165.19,41289.71,True,True,True,4
