coin,window_label,window_seconds,threshold_cents,sample_size,wins,win_rate_pct,avg_entry_price_cents,avg_profit_per_contract_cents,ev_per_trade_cents,ev_per_1_dollar_risked_cents,tradeable_rate_pct,dry_up_rate_pct,projected_bankroll_after_300
BTC,T-4m,240,92,164,163,99.39024390243902,97.05426829268293,2.1323353658536597,2.1323353658536597,2.229126852351956,70.1219512195122,31.70731707317073,516.6938044338655
BTC,T-5m,300,88,150,146,97.33333333333334,95.35866666666666,1.659480000000001,1.659480000000001,1.8472349361200842,85.33333333333334,15.333333333333332,367.4953562980889
BTC,T-4m,240,96,123,123,100.0,98.16097560975611,1.7102926829268308,1.7102926829268308,1.7556217757350425,60.16260162601627,41.46341463414634,368.36835718101224
BTC,T-4m,240,90,180,177,98.33333333333333,96.50277777777777,1.5955111111111118,1.5955111111111118,1.643835183120295,72.77777777777777,28.888888888888886,343.1667162128302
BTC,T-4m,240,88,189,185,97.88359788359789,96.12962962962963,1.4967830687830699,1.4967830687830699,1.5355569389424382,74.07407407407408,27.513227513227513,318.76856413248237
BTC,T-4m,240,94,144,143,99.30555555555556,97.66458333333333,1.4804097222222241,1.4804097222222241,1.5149268709564099,65.97222222222221,36.11111111111111,310.6032451901168
BTC,T-60s,60,88,282,282,100.0,98.75354609929077,1.159202127659575,1.159202127659575,1.2211397062665275,23.75886524822695,77.6595744680851,240.86967163791712
BTC,T-2m,120,88,250,247,98.8,97.5228,1.1073240000000004,1.1073240000000004,1.2164640002139453,44.800000000000004,57.599999999999994,233.7945090038895
BTC,T-90s,90,88,250,247,98.8,97.5228,1.1073240000000004,1.1073240000000004,1.2164640002139453,44.800000000000004,57.599999999999994,233.7945090038895
BTC,T-5m,300,90,140,136,97.14285714285714,95.86285714285717,1.0008000000000008,1.0008000000000008,1.0987811934133547,84.28571428571429,16.428571428571427,218.21590423499393
BTC,T-60s,60,90,278,278,100.0,98.90107913669065,1.0219964028776984,1.0219964028776984,1.0647805638797863,22.66187050359712,78.77697841726618,216.8454575031352
BTC,T-3m,180,92,196,194,98.9795918367347,97.82959183673469,1.0000357142857152,1.0000357142857152,1.059780673166972,54.59183673469388,46.42857142857143,214.97940370804423
BTC,T-4m,240,98,75,75,100.0,98.968,0.9597600000000008,0.9597600000000008,0.972125312712252,34.66666666666667,66.66666666666666,206.77183540657657
BTC,T-60s,60,92,274,274,100.0,99.01313868613137,0.9177810218978109,0.9177810218978109,0.9496209372541621,21.532846715328464,79.92700729927007,200.24914618245265
BTC,T-2m,120,90,242,239,98.7603305785124,97.82520661157025,0.7865330578512405,0.7865330578512405,0.8521643102354534,42.97520661157025,59.09090909090909,182.4058951972168
BTC,T-90s,90,90,242,239,98.7603305785124,97.82520661157025,0.7865330578512405,0.7865330578512405,0.8521643102354534,42.97520661157025,59.09090909090909,182.4058951972168
BTC,T-60s,60,94,270,270,100.0,99.11296296296297,0.8249444444444451,0.8249444444444451,0.8483149076559029,20.37037037037037,80.74074074074075,186.5626742808408
BTC,T-3m,180,98,124,124,100.0,99.15080645161291,0.7897500000000007,0.7897500000000007,0.7994201043962287,28.225806451612907,72.58064516129032,181.62818372743703
BTC,T-3m,180,94,184,182,98.91304347826086,98.16576086956522,0.6209782608695664,0.6209782608695664,0.6492354107965087,51.63043478260869,49.45652173913043,160.56517143132785
BTC,T-5m,300,96,81,80,98.76543209876543,98.01851851851852,0.6091604938271621,0.6091604938271621,0.6449588949852967,72.8395061728395,28.39506172839506,159.41272956796251
BTC,T-5m,300,92,120,117,97.5,96.71249999999999,0.5636750000000015,0.5636750000000015,0.6235123266266513,81.66666666666667,19.166666666666668,154.71045538656782
BTC,T-60s,60,96,256,256,100.0,99.34882812500001,0.6055898437500006,0.6055898437500006,0.6155627243395612,16.015625,85.15625,157.90467699096214
BTC,T-2m,120,98,163,163,100.0,99.3760736196319,0.5802515337423317,0.5802515337423317,0.5867112930983732,15.337423312883436,86.50306748466258,154.89877309371496
BTC,T-90s,90,98,163,163,100.0,99.3760736196319,0.5802515337423317,0.5802515337423317,0.5867112930983732,15.337423312883436,86.50306748466258,154.89877309371496
BTC,T-60s,60,98,242,242,100.0,99.4892561983471,0.4749917355371905,0.4749917355371905,0.4802023507651452,11.15702479338843,89.6694214876033,143.02640992035828
BTC,T-2m,120,94,214,212,99.06542056074767,98.6448598130841,0.3272383177570103,0.3272383177570103,0.34404426508622177,35.51401869158878,66.82242990654206,128.17198270872515
